出库流量,下游水位
85800,78.71
85900,78.73
86000,78.75
86100,78.77
86200,78.79
86300,78.81
86400,78.83
86500,78.86
86600,78.88
86700,78.9
86800,78.92
86900,78.94
87000,78.96
87100,78.98
87200,79
87300,79.02
87400,79.04
87500,79.06
87600,79.08
87700,79.1
87800,79.12
87900,79.14
88000,79.16
88100,79.18
88200,79.2
88300,79.22
88400,79.24
88500,79.26
88600,79.29
88700,79.31
88800,79.33
88900,79.35
89000,79.37
89100,79.39
89200,79.41
89300,79.43
89400,79.45
89500,79.48
89600,79.5
89700,79.52
89800,79.54
89900,79.56
90000,79.58
0,64.5
100,64.502
200,64.504
300,64.51
400,64.51
500,64.51
600,64.51
700,64.51
800,64.517
900,64.52
1000,64.52
1100,64.52
1200,64.52
1300,64.53
1400,64.53
1500,64.53
1600,64.53
1700,64.53
1800,64.54
1900,64.54
2000,64.54
2100,64.54
2200,64.54
2300,64.55
2400,64.55
2500,64.55
2600,64.55
2700,64.55
2800,64.56
2900,64.56
3000,64.56
3100,64.56
3200,64.56
3300,64.56
3400,64.57
3500,64.57
3600,64.57
3700,64.57
3800,64.57
3900,64.57
4000,64.57
4100,64.57
4200,64.57
4300,64.57
4400,64.57
4500,64.57
4600,64.57
4700,64.58
4800,64.58
4900,64.58
5000,64.59
5100,64.6
5200,64.6
5300,64.61
5400,64.62
5500,64.62
5600,64.63
5700,64.64
5800,64.65
5900,64.65
6000,64.66
6100,64.67
6200,64.67
6300,64.68
6400,64.69
6500,64.7
6600,64.7
6700,64.71
6800,64.72
6900,64.72
7000,64.73
7100,64.74
7200,64.74
7300,64.75
7400,64.76
7500,64.76
7600,64.77
7700,64.78
7800,64.79
7900,64.79
8000,64.8
8100,64.81
8200,64.81
8300,64.82
8400,64.83
8500,64.84
8600,64.84
8700,64.85
8800,64.86
8900,64.86
9000,64.87
9100,64.88
9200,64.88
9300,64.89
9400,64.9
9500,64.9
9600,64.91
9700,64.92
9800,64.93
9900,64.93
10000,64.94
10100,64.95
10200,64.96
10300,64.97
10400,64.98
10500,64.99
10600,65
10700,65.02
10800,65.03
10900,65.04
11000,65.05
11100,65.06
11200,65.07
11300,65.08
11400,65.09
11500,65.1
11600,65.11
11700,65.12
11800,65.13
11900,65.14
12000,65.15
12100,65.16
12200,65.17
12300,65.18
12400,65.2
12500,65.21
12600,65.22
12700,65.24
12800,65.25
12900,65.26
13000,65.27
13100,65.28
13200,65.29
13300,65.3
13400,65.31
13500,65.32
13600,65.33
13700,65.34
13800,65.35
13900,65.36
14000,65.37
14100,65.381
14200,65.392
14300,65.403
14400,65.414
14500,65.42
14600,65.43
14700,65.44
14800,65.45
14900,65.47
15000,65.48
15100,65.495
15200,65.511
15300,65.52
15400,65.542
15500,65.557
15600,65.573
15700,65.58
15800,65.604
15900,65.62
16000,65.63
16100,65.64
16200,65.66
16300,65.68
16400,65.69
16500,65.7
16600,65.72
16700,65.74
16800,65.75
16900,65.76
17000,65.78
17100,65.8
17200,65.81
17300,65.83
17400,65.84
17500,65.86
17600,65.88
17700,65.89
17800,65.91
17900,65.92
18000,65.94
18100,65.96
18200,65.97
18300,65.98
18400,66
18500,66.02
18600,66.03
18700,66.04
18800,66.06
18900,66.08
19000,66.09
19100,66.1
19200,66.12
19300,66.14
19400,66.15
19500,66.16
19600,66.18
19700,66.2
19800,66.21
19900,66.22
20000,66.24
20100,66.26
20200,66.27
20300,66.29
20400,66.3
20500,66.32
20600,66.33
20700,66.35
20800,66.37
20900,66.38
21000,66.4
21100,66.42
21200,66.43
21300,66.45
21400,66.47
21500,66.48
21600,66.5
21700,66.52
21800,66.54
21900,66.55
22000,66.57
22100,66.59
22200,66.6
22300,66.62
22400,66.63
22500,66.64
22600,66.66
22700,66.67
22800,66.69
22900,66.7
23000,66.72
23100,66.74
23200,66.75
23300,66.77
23400,66.79
23500,66.8
23600,66.82
23700,66.84
23800,66.86
23900,66.87
24000,66.89
24100,66.91
24200,66.92
24300,66.94
24400,66.95
24500,66.97
24600,66.99
24700,67
24800,67.02
24900,67.03
25000,67.05
25100,67.07
25200,67.08
25300,67.1
25400,67.12
25500,67.14
25600,67.15
25700,67.17
25800,67.19
25900,67.2
26000,67.22
26100,67.24
26200,67.25
26300,67.27
26400,67.28
26500,67.3
26600,67.32
26700,67.33
26800,67.35
26900,67.36
27000,67.38
27100,67.4
27200,67.41
27300,67.43
27400,67.44
27500,67.46
27600,67.48
27700,67.49
27800,67.51
27900,67.52
28000,67.54
28100,67.56
28200,67.57
28300,67.59
28400,67.6
28500,67.62
28600,67.64
28700,67.65
28800,67.67
28900,67.68
29000,67.7
29100,67.72
29200,67.73
29300,67.75
29400,67.77
29500,67.78
29600,67.8
29700,67.82
29800,67.83
29900,67.85
30000,67.87
30100,67.89
30200,67.91
30300,67.93
30400,67.94
30500,67.96
30600,67.98
30700,68
30800,68.02
30900,68.04
31000,68.06
31100,68.08
31200,68.1
31300,68.12
31400,68.14
31500,68.16
31600,68.18
31700,68.2
31800,68.22
31900,68.24
32000,68.26
32100,68.28
32200,68.3
32300,68.32
32400,68.34
32500,68.36
32600,68.37
32700,68.39
32800,68.41
32900,68.43
33000,68.45
33100,68.47
33200,68.49
33300,68.51
33400,68.53
33500,68.54
33600,68.56
33700,68.58
33800,68.6
33900,68.62
34000,68.64
34100,68.66
34200,68.68
34300,68.7
34400,68.72
34500,68.74
34600,68.75
34700,68.77
34800,68.79
34900,68.81
35000,68.83
35100,68.85
35200,68.87
35300,68.89
35400,68.91
35500,68.93
35600,68.95
35700,68.97
35800,68.99
35900,69.01
36000,69.03
36100,69.05
36200,69.07
36300,69.09
36400,69.11
36500,69.12
36600,69.14
36700,69.16
36800,69.18
36900,69.2
37000,69.22
37100,69.24
37200,69.26
37300,69.28
37400,69.3
37500,69.32
37600,69.33
37700,69.35
37800,69.37
37900,69.39
38000,69.41
38100,69.43
38200,69.45
38300,69.47
38400,69.49
38500,69.51
38600,69.53
38700,69.55
38800,69.57
38900,69.59
39000,69.61
39100,69.63
39200,69.65
39300,69.67
39400,69.68
39500,69.7
39600,69.72
39700,69.74
39800,69.76
39900,69.78
40000,69.8
40100,69.82
40200,69.84
40300,69.86
40400,69.88
40500,69.9
40600,69.93
40700,69.95
40800,69.97
40900,69.99
41000,70.01
41100,70.03
41200,70.05
41300,70.07
41400,70.09
41500,70.12
41600,70.14
41700,70.16
41800,70.18
41900,70.2
42000,70.22
42100,70.24
42200,70.26
42300,70.28
42400,70.3
42500,70.32
42600,70.34
42700,70.36
42800,70.38
42900,70.4
43000,70.42
43100,70.44
43200,70.46
43300,70.48
43400,70.5
43500,70.52
43600,70.55
43700,70.57
43800,70.59
43900,70.61
44000,70.63
44100,70.65
44200,70.67
44300,70.69
44400,70.71
44500,70.74
44600,70.76
44700,70.78
44800,70.8
44900,70.82
45000,70.84
45100,70.86
45200,70.88
45300,70.9
45400,70.92
45500,70.94
45600,70.96
45700,70.98
45800,71
45900,71.02
46000,71.04
46100,71.06
46200,71.08
46300,71.1
46400,71.12
46500,71.14
46600,71.17
46700,71.19
46800,71.21
46900,71.23
47000,71.25
47100,71.27
47200,71.29
47300,71.31
47400,71.33
47500,71.36
47600,71.38
47700,71.4
47800,71.42
47900,71.44
48000,71.46
48100,71.48
48200,71.5
48300,71.52
48400,71.54
48500,71.56
48600,71.59
48700,71.61
48800,71.63
48900,71.65
49000,71.67
49100,71.69
49200,71.71
49300,71.73
49400,71.75
49500,71.77
49600,71.79
49700,71.81
49800,71.83
49900,71.85
50000,71.87
50100,71.89
50200,71.91
50300,71.93
50400,71.95
50500,71.98
50600,72
50700,72.02
50800,72.04
50900,72.06
51000,72.08
51100,72.1
51200,72.12
51300,72.14
51400,72.16
51500,72.18
51600,72.2
51700,72.22
51800,72.24
51900,72.26
52000,72.28
52100,72.3
52200,72.32
52300,72.34
52400,72.36
52500,72.39
52600,72.41
52700,72.43
52800,72.45
52900,72.47
53000,72.49
53100,72.51
53200,72.53
53300,72.55
53400,72.57
53500,72.59
53600,72.61
53700,72.63
53800,72.65
53900,72.67
54000,72.69
54100,72.71
54200,72.73
54300,72.75
54400,72.77
54500,72.79
54600,72.81
54700,72.83
54800,72.85
54900,72.87
55000,72.89
55100,72.91
55200,72.93
55300,72.95
55400,72.97
55500,72.99
55600,73.01
55700,73.03
55800,73.05
55900,73.07
56000,73.09
56100,73.11
56200,73.13
56300,73.15
56400,73.17
56500,73.19
56600,73.21
56700,73.23
56800,73.25
56900,73.27
57000,73.29
57100,73.31
57200,73.33
57300,73.35
57400,73.37
57500,73.39
57600,73.41
57700,73.43
57800,73.45
57900,73.47
58000,73.49
58100,73.51
58200,73.53
58300,73.55
58400,73.57
58500,73.6
58600,73.62
58700,73.64
58800,73.66
58900,73.68
59000,73.7
59100,73.72
59200,73.74
59300,73.76
59400,73.78
59500,73.8
59600,73.82
59700,73.84
59800,73.86
59900,73.88
60000,73.9
60100,73.92
60200,73.94
60300,73.96
60400,73.98
60500,74
60600,74.02
60700,74.04
60800,74.06
60900,74.08
61000,74.1
61100,74.12
61200,74.14
61300,74.16
61400,74.19
61500,74.21
61600,74.23
61700,74.25
61800,74.28
61900,74.3
62000,74.32
62100,74.34
62200,74.36
62300,74.38
62400,74.4
62500,74.42
62600,74.44
62700,74.46
62800,74.48
62900,74.5
63000,74.52
63100,74.54
63200,74.56
63300,74.58
63400,74.6
63500,74.62
63600,74.65
63700,74.67
63800,74.69
63900,74.71
64000,74.73
64100,74.75
64200,74.77
64300,74.79
64400,74.82
64500,74.84
64600,74.86
64700,74.88
64800,74.9
64900,74.92
65000,74.94
65100,74.96
65200,74.98
65300,75
65400,75.02
65500,75.04
65600,75.06
65700,75.08
65800,75.1
65900,75.12
66000,75.14
66100,75.16
66200,75.18
66300,75.2
66400,75.22
66500,75.24
66600,75.26
66700,75.28
66800,75.3
66900,75.32
67000,75.34
67100,75.36
67200,75.38
67300,75.4
67400,75.42
67500,75.44
67600,75.46
67700,75.49
67800,75.51
67900,75.53
68000,75.55
68100,75.57
68200,75.59
68300,75.61
68400,75.63
68500,75.66
68600,75.68
68700,75.7
68800,75.72
68900,75.74
69000,75.76
69100,75.78
69200,75.8
69300,75.82
69400,75.84
69500,75.87
69600,75.89
69700,75.91
69800,75.93
69900,75.95
70000,75.97
70100,75.99
70200,76.01
70300,76.03
70400,76.05
70500,76.07
70600,76.09
70700,76.11
70800,76.13
70900,76.15
71000,76.17
71100,76.19
71200,76.21
71300,76.23
71400,76.25
71500,76.27
71600,76.29
71700,76.31
71800,76.33
71900,76.35
72000,76.37
72100,76.39
72200,76.41
72300,76.43
72400,76.45
72500,76.47
72600,76.49
72700,76.51
72800,76.53
72900,76.55
73000,76.57
73100,76.59
73200,76.61
73300,76.63
73400,76.65
73500,76.67
73600,76.69
73700,76.71
73800,76.73
73900,76.75
74000,76.77
74100,76.79
74200,76.81
74300,76.83
74400,76.85
74500,76.88
74600,76.9
74700,76.92
74800,76.94
74900,76.96
75000,76.98
75100,77
75200,77.02
75300,77.04
75400,77.06
75500,77.08
75600,77.1
75700,77.12
75800,77.14
75900,77.16
76000,77.18
76100,77.2
76200,77.22
76300,77.24
76400,77.26
76500,77.28
76600,77.3
76700,77.32
76800,77.34
76900,77.36
77000,77.38
77100,77.4
77200,77.42
77300,77.44
77400,77.46
77500,77.48
77600,77.5
77700,77.52
77800,77.54
77900,77.56
78000,77.58
78100,77.6
78200,77.62
78300,77.64
78400,77.66
78500,77.68
78600,77.7
78700,77.72
78800,77.74
78900,77.76
79000,77.78
79100,77.8
79200,77.82
79300,77.84
79400,77.86
79500,77.88
79600,77.9
79700,77.92
79800,77.94
79900,77.96
80000,77.98
80100,78
80200,78.02
80300,78.04
80400,78.06
80500,78.08
80600,78.1
80700,78.12
80800,78.14
80900,78.16
81000,78.18
81100,78.2
81200,78.22
81300,78.24
81400,78.26
81500,78.28
81600,78.3
81700,78.32
81800,78.34
81900,78.36
82000,78.38
82100,78.4
82200,78.42
82300,78.44
82400,78.46
82500,78.48
82600,78.5
82700,78.52
82800,78.54
82900,78.56
83000,78.58
83100,78.6
83200,78.62
83300,78.64
83400,78.66
83500,78.68
83600,78.7
83700,78.72
83800,78.74
83900,78.76
84000,78.78
84100,78.8
84200,78.82
84300,78.84
84400,78.86
84500,78.88
84600,78.9
84700,78.92
84800,78.94
84900,78.96
85000,78.98
85100,79
85200,79.02
85300,79.04
85400,79.06
85500,79.08
85600,79.1
85700,79.12
85800,79.14
85900,79.16
86000,79.18
86100,79.2
86200,79.22
86300,79.24
86400,79.26
86500,79.28
86600,79.3
86700,79.32
86800,79.34
86900,79.36
87000,79.38
87100,79.4
87200,79.42
87300,79.44
87400,79.46
87500,79.48
87600,79.5
87700,79.52
87800,79.54
87900,79.56
88000,79.58
88100,79.6
88200,79.62
88300,79.64
88400,79.66
88500,79.68
88600,79.7
88700,79.72
88800,79.74
88900,79.76
89000,79.78
89100,79.8
89200,79.82
89300,79.84
89400,79.86
89500,79.88
89600,79.9
89700,79.92
89800,79.94
89900,79.96
90000,79.98
